Project Name,Subname,Price (24h),Price Change (24h),Volume (24h),FDV,Market Cap,ROI,Total Raised,Date
E-money,NGM,$0.00372,0.32%,$7.84,$381.08 K,$73.51 K,0.01x,$2.05 M,"Jan 20, 2021"
Glitch Protocol,GLCH,$0.0063,5.94%,$6.69 K,$559.11 K,$441.89 K,0.07x,$3.35 M,"Jan 19, 2021"
Must,MUST,$3.48,0.58%,$730.03,$3.49 M,$363.22 K,0.02x,$10 M,"Jan 17, 2021"
BiFi,BIFI,$0.00167,-2.42%,$80.18 K,$1.67 M,$971.38 K,0.21x,,"Jan 14, 2021"
Prosper,PROS,$0.3176,0.96%,$472.24 K,$31.66 M,$10.35 M,3.17x,$950 K,"Jan 14, 2021"
CUDOS,CUDOS,$0.00897,1.20%,$449.02 K,$77.7 M,$52.41 M,1.5x,$3 M,"Jan 13, 2021"
Nord Finance,NORD,$0.05682,-2.53%,$91.47 K,$566.2 K,$457.09 K,0.06x,$1.32 M,"Jan 12, 2021"
Royale Finance,ROYA,$0.00162,-0.29%,$49.16,$116.64 K,$65.55 K,0.01x,$1.45 M,"Jan 8, 2021"
SparkDeFi,SFUEL,$0.000542,-0.83%,$61.54,$81 K,$15.38 K,0.02x,,"Jan 4, 2021"
Futureswap,FST,$0.01707,-2.38%,$54.54,$584.59 K,,0.01x,$13.55 M,"Dec 31, 2020"
Exeedme,XED,$0.02822,2.41%,$28.95 K,$2.82 M,$2.58 M,0.56x,$975 K,"Dec 30, 2020"
Reef,REEF,$0.000878,-20.93%,$59.19 M,$20.47 M,$20.04 M,0.02x,$3.9 M,"Dec 28, 2020"
Fire Protocol,FIRE,$0.000553,-5.22%,$4.18 K,$55.1 K,,0.01x,$1.05 M,"Dec 28, 2020"
Whiteheart,WHITE,$4558.92,1.79%,$71.5,$39.94 M,$40.52 M,2.67x,,"Dec 27, 2020"
Frax Share,FXS,$1.912,0.43%,$12.68 M,$182.72 M,$156.2 M,0.13x,,"Dec 26, 2020"
1inch.exchange,1inch,$0.2664,-0.15%,$15.37 M,$398.25 M,$334.46 M,0.18x,$189.8 M,"Dec 24, 2020"
DerivaDAO,DDX,$0.03611,-0.02%,$102.08,$1.82 M,$942.28 K,0.21x,$2.7 M,"Dec 22, 2020"
DerivaDEX,DDX,$0.03611,-0.02%,$102.08,$1.82 M,$942.28 K,0.01x,$2.7 M,"Dec 22, 2020"
Bonfida,FIDA,$0.2201,2.45%,$2.19 M,$217.31 M,$29.63 M,2.19x,$5.7 M,"Dec 22, 2020"
OnX Finance,ONX,$0.00912,10.45%,$4.1 K,$7.17 K,,0.01x,,"Dec 21, 2020"
Frax,,$1.008,1.86%,$3.12 M,$1.05 B,$654.63 M,1.01x,$1.21 M,"Dec 20, 2020"
Marlin,POND,$0.0131,-4.61%,$3.72 M,$129.5 M,$105.94 M,7.42x,$3 M,"Dec 20, 2020"
UNION Finance,UNN,$0.000203,1.47%,$7.77,$203 K,$124.86 K,0.01x,$4.28 M,"Dec 17, 2020"
Lido DAO,LDO,$1.087,2.71%,$59.85 M,$1.08 B,$971.48 M,1.48x,$145 M,"Dec 17, 2020"
MahaDAO,MAHA,$1.104,0.50%,$196.52 K,$10.9 M,$4.85 M,1.8x,$1 M,"Dec 17, 2020"
The Graph,GRT,$0.1446,0.36%,$30.66 M,$1.55 B,$1.38 B,4.79x,$279.7 M,"Dec 16, 2020"
YIELD,YLD,$0.00343,-39.58%,$29 K,$1.03 M,$910.33 K,0.03x,$1.2 M,"Dec 13, 2020"
Terra Virtua,TVK,$0.09902,1.14%,$23.26 K,$118.8 M,$17.28 M,8.25x,$2.62 M,"Dec 11, 2020"
PlasmaPay,PPAY,$0.000576,-4.48%,$1.59,$576 K,$70.91 K,0.03x,$3.5 M,"Dec 9, 2020"
MobileCoin,MOB,$0.4306,15.56%,$1.02 M,$82.83 M,$85.35 M,0.52x,$107.4 M,"Dec 7, 2020"
Efforce,WOZX,$0.00443,-1.86%,$9.42 K,$4.41 M,$2.34 M,0.04x,$45 M,"Dec 6, 2020"
DIGITALAX,MONA,$82.43,3.26%,$52.22,$929.2 K,$859.59 K,1652x,,"Dec 5, 2020"
Monavale,MONA,$82.43,3.26%,$52.22,$933.72 K,$859.59 K,0.33x,$100 K,"Dec 5, 2020"
Mirror,,$0.02185,3.52%,$36.36 K,$7.81 M,$1.7 M,0.02x,,"Dec 4, 2020"
Badger DAO,BADGER,$2.671,1.95%,$3.65 M,$55.76 M,$54.12 M,0.93x,$21 M,"Dec 3, 2020"
Base Protocol,BASE,$0.8345,-11.46%,$3.39 K,$400.17 K,$401.13 K,1.52x,,"Nov 30, 2020"
Bifrost,BFC,$0.03929,3.72%,$582.95 K,$101.56 M,$54.48 M,1.46x,$16.91 M,"Nov 30, 2020"
SKALE Network,SKL,$0.03479,-0.17%,$22.28 M,$206.07 M,$191.92 M,1.15x,$22 M,"Nov 30, 2020"
Basis Cash,BAC,$0.002,-7.90%,$176.09,$109.15 K,$109.15 K,0.01x,$133 M,"Nov 29, 2020"
API3,API3,$1.422,2.70%,$6.11 M,$195.14 M,$122.89 M,1.23x,$26 M,"Nov 29, 2020"
Kira Network,KEX,$0.03314,5.16%,$4.64 K,$9.92 M,$7.42 M,0.09x,$5.14 M,"Nov 28, 2020"
Muse DAO,MUSE,$9.38,-7.49%,$57.13 K,$8.94 M,$8.91 M,15.56x,$750 K,"Nov 26, 2020"
IDLE,IDLE,$0.3064,2.78%,$8.24 K,$3.97 M,$2.73 M,0.57x,$3.6 M,"Nov 25, 2020"
Bonded Finance,BOND,$0.0000079,,$10.1,$7.9 K,$3.03 K,0.01x,,"Nov 25, 2020"
Finance Vote,FVT,$0.000853,-11.62%,$9.27 K,$926.04 K,$174.62 K,0.04x,$1.78 M,"Nov 21, 2020"
TrueFi,TRU,$0.09187,4.10%,$15.25 M,$109.29 M,$106.11 M,3.04x,$32.5 M,"Nov 21, 2020"
Unifi Protocol DAO,UNFI,$3.033,1.02%,$8.69 M,$25.66 M,$26.17 M,20.18x,$889.5 K,"Nov 18, 2020"
Oasis Labs,ROSE,$0.06266,1.03%,$6.84 M,$628.2 M,$420.67 M,3.11x,$45 M,"Nov 17, 2020"
Saffron Finance,SFI,$19.04,-4.81%,$4.6 K,$1.75 M,$1.74 M,0.25x,,"Nov 15, 2020"
saffron.finance,SFI,$19.04,-4.81%,$4.6 K,$1.76 M,$1.74 M,0.25x,$2 M,"Nov 15, 2020"
ReapChain,REAP,$0.000073,-65.40%,$1.34 K,$162.8 K,$101.84 K,0.01x,$109.78 K,"Nov 12, 2020"
Conflux Network,CFX,$0.1393,3.73%,$32.44 M,$697.33 M,$603.34 M,1.38x,$68.71 M,"Nov 9, 2020"
Lattice Exchange,LTX,$0.07505,-6.53%,$2.09 K,$7.49 M,$2.15 M,0.21x,,"Nov 6, 2020"
Lattice Token,LTX,$0.07505,-6.53%,$2.09 K,$7.49 M,$2.15 M,0.21x,$500 K,"Nov 6, 2020"
Axie Infinity,AXS,$4.852,2.67%,$18.29 M,$1.28 B,$720.63 M,0.43x,$312.83 M,"Nov 3, 2020"
Dvision Network,DVI,$0.01246,0.87%,$195.73 K,$12.48 M,$9.65 M,0.03x,$306.85 K,"Nov 2, 2020"
Freeway,FWT,$0.000052,-3.25%,$17.43 K,$520 K,$352.31 K,0.04x,$4.25 M,"Nov 2, 2020"
KeeperDAO,ROOK,$0.9305,2.52%,$900.84,$1.14 M,$574.71 K,0.08x,$1.44 M,"Nov 2, 2020"
WOO Network,WOO,$0.1485,1.48%,$6.38 M,$332.78 M,$285.03 M,4.94x,$67.26 M,"Oct 28, 2020"
Keep3rV1,KP3R,$47.2,3.42%,$10.94 M,$20.21 M,$20.07 M,1.95x,,"Oct 27, 2020"
Shentu,CTK,$0.5593,1.48%,$764.24 K,$76.12 M,$76.53 M,0.28x,,"Oct 26, 2020"
BarnBridge,BOND,$2.081,3.98%,$3.89 M,$20.77 M,$16.46 M,1.56x,$1 M,"Oct 25, 2020"
Audius,AUDIO,$0.1245,-3.27%,$9.52 M,$159.34 M,$156.08 M,5.62x,$14.85 M,"Oct 22, 2020"
Rari Governance Token,RGT,$0.173,-11.56%,$4.55 K,$2.15 M,$2.16 M,0.03x,,"Oct 21, 2020"
CertiK,CTK,$0.5593,1.48%,$764.24 K,$76.3 M,$76.53 M,0.28x,$279.63 M,"Oct 21, 2020"
Akash Network,AKT,$2.643,-1.78%,$5.96 M,$654.08 M,$655.32 M,7.54x,$2.8 M,"Oct 21, 2020"
Injective Protocol,INJ,$18.59,0.01%,$68.31 M,$1.86 B,$1.81 B,46.4x,$207.1 M,"Oct 20, 2020"
PlotX,PLOT,$0.00515,0.67%,$77.79 K,$1.01 M,$341.54 K,0.11x,$2.98 M,"Oct 20, 2020"
RAMP DEFI,RAMP,$0.08965,0.31%,$1.66 K,$89.4 M,$36.84 M,11.19x,$1.16 M,"Oct 20, 2020"
DeXe,DEXE,$7.8,-0.22%,$3.59 M,$746.95 M,$445.41 M,6.15x,$1.9 M,"Oct 19, 2020"
ZeroSwap,ZEE,$0.01056,8.03%,$404.59 K,$1.05 M,$669.81 K,39.88x,$6 K,"Oct 18, 2020"
NuCypher,NU,$0.08004,-1.02%,$6.6 K,$110.25 M,$110.51 M,0.62x,$15.85 M,"Oct 14, 2020"
UniLend,UFT,$0.218,3.72%,$1.31 M,$21.67 M,$21.8 M,1.46x,$3.25 M,"Oct 14, 2020"
Near Protocol,NEAR,$4.081,2.74%,$204.64 M,$4.75 B,$4.54 B,81.5x,$544.14 M,"Oct 12, 2020"
CoFiX,COFI,$0.00639,6.57%,$659.79,,,0.01x,$500 K,"Oct 12, 2020"
acBTC,AC,$0.01589,-41.70%,$98.92,$99.92 K,$42.29 K,0.02x,,"Oct 12, 2020"
Juggernaut,JGN,$0.01182,-1.71%,$28.14 K,$1.77 M,$1.77 M,0.12x,$150 K,"Oct 11, 2020"
Stella,ALPHA,$0.05499,2.03%,$1.33 M,$54.78 M,$48.56 M,0.71x,$150 K,"Oct 9, 2020"
Centaur,CNTR,$0.000026,6.79%,$31.38,$156 K,$128.14 K,0.01x,$5 M,"Oct 9, 2020"
EasyFi,EASY,$0.00893,-5.20%,$3.52 K,$90.1 K,,0.01x,,"Oct 8, 2020"
Mettalex,MTLX,$1.534,12.65%,$22.8 K,$61.24 M,$1.72 M,1x,,"Oct 6, 2020"
Venus,XVS,$6.39,0.78%,$1.26 M,$191.4 M,$103.48 M,3.87x,,"Oct 5, 2020"
Aave,LEND,$54.13,,$10.53 K,$866.08 M,,,$49.3 M,"Oct 2, 2020"
Hathor,HTR,$0.0372,1.10%,$338.56 K,$34.51 M,$9.46 M,0.93x,$1.2 M,"Oct 1, 2020"
Linear Finance,LINA,$0.00421,1.27%,$7.64 M,$42 M,$27.4 M,0.93x,$2.37 M,"Sep 30, 2020"
Starname,IVO,$0.000809,1.41%,$3.59,$101.41 K,,0.02x,$5.52 M,"Sep 29, 2020"
PancakeSwap,CAKE,$1.591,-0.07%,$14.22 M,$607.35 M,$378.95 M,1.22x,$350 K,"Sep 28, 2020"
Polkastarter,POLS,$0.2673,5.53%,$864.53 K,$26.46 M,$26.52 M,10.63x,$875 K,"Sep 28, 2020"
RioDeFi,RFUEL,$0.00152,1.22%,$343.49,$547.79 K,$523.72 K,0.01x,$21.5 M,"Sep 27, 2020"
Flamingo Finance,FLM,$0.05376,-0.79%,$3.46 M,$32.72 M,$32.84 M,0.03x,,"Sep 27, 2020"
TitanSwap,TITAN,$0.0018,59.51%,$2.7 K,$1.8 M,$166.71 K,0.01x,,"Sep 24, 2020"
Bidao,BID,$0.000966,0.65%,$153.62,$2.55 M,,0.1x,,"Sep 24, 2020"
PowerTrade,PTF,$0.0077,1.52%,$146.22 K,$3.08 M,$179.5 K,0.04x,$400 K,"Sep 24, 2020"
Burger Swap,,$0.312,-1.58%,$1.9 M,$17.84 M,$10.38 M,0.23x,$4 M,"Sep 24, 2020"
Avalanche,AVAX,$21.36,0.50%,$147.69 M,$9.46 B,$8.44 B,25.02x,$285.97 M,"Sep 20, 2020"
Velo,VELO,$0.00929,1.19%,$9.19 M,$221.04 M,$68.66 M,0.18x,$22 M,"Sep 16, 2020"
UpBots,UBXT,$0.00503,32.17%,$97.77,$2.52 M,$2.52 M,0.39x,$260 K,"Sep 16, 2020"
Gala Games,GALA,$0.01693,3.12%,$50.21 M,$605.47 M,$574.8 M,8.54x,$100 M,"Sep 15, 2020"
Bella Protocol,BEL,$0.413,1.83%,$1.09 M,$41.1 M,$27.78 M,0.55x,$4.5 M,"Sep 15, 2020"
Frontier,FRONT,$0.6537,7.26%,$10.18 M,$64.39 M,$58.83 M,8.05x,$2 M,"Sep 15, 2020"
Uniswap,UNI,$6.23,1.67%,$65.1 M,$6.19 B,$3.74 B,2.4x,$177.9 M,"Sep 15, 2020"
Hedget,HGET,$0.07292,1.81%,$386.32,$127.09 K,$127.72 K,0.01x,$4.21 M,"Sep 12, 2020"
Hegic,HEGIC,$0.01663,-1.67%,$32.09 K,$50.03 M,$11.7 M,0.13x,$13.37 M,"Sep 12, 2020"
Phala Network,PHA,$0.1006,3.56%,$4.44 M,$100.5 M,$74.7 M,35.89x,$1.43 M,"Sep 12, 2020"
Stafi,FIS,$0.3095,2.59%,$1.23 M,$43.78 M,$32.37 M,2.37x,$990 K,"Sep 11, 2020"
SUN,SUN,$0.009,-0.45%,$22.96 M,$178.71 M,$89.56 M,0.01x,,"Sep 10, 2020"
AMP,AMP,$0.0035,0.15%,$3.51 M,$349.23 M,$147.8 M,3.52x,$20 M,"Sep 8, 2020"
Perpetual Protocol,PERP,$0.554,2.05%,$2.38 M,$82.64 M,$36.57 M,0.34x,$14.56 M,"Sep 8, 2020"
AegisDeFi,AGT,$0.00268,-12.90%,$4.7 K,$80.7 K,$11.16 K,0.01x,,"Sep 7, 2020"
Alchemy Pay,ACH,$0.01949,1.67%,$5.65 M,$194.1 M,$155.86 M,0.51x,$10 M,"Sep 6, 2020"
Revv,,$0.00552,-0.25%,$941.66 K,$16.65 M,$6.57 M,0.39x,$5.5 M,"Sep 6, 2020"
OIN Finance,OIN,$0.01596,2.55%,$5.37 K,$1.59 M,$525.89 K,0.2x,$732 K,"Sep 3, 2020"
Yup,YUP,$0.03417,3.87%,$4.34 K,$2.35 M,,0.01x,$3.5 M,"Sep 2, 2020"
Tokamak Network,TON,$1.071,-0.28%,$750.37 K,$67.07 M,$46.95 M,2.38x,$3.88 M,"Aug 29, 2020"
Sushi,SUSHI,$0.6077,1.81%,$9.13 M,$167.58 M,$158.72 M,0.01x,$5.2 M,"Aug 28, 2020"
Anyswap,ANY,$1.86,-14.37%,$31.24,$185.2 M,,93x,,"Aug 26, 2020"
Klever,,$0.00237,-1.74%,$682.97 K,$23.6 M,$21.05 M,0.49x,$30 M,"Aug 26, 2020"
ProxiDeFi,CREDIT,$0.00311,-7.23%,$4.06 K,$20 M,,0.02x,$300 K,"Aug 23, 2020"
AXIS DeFi,AXIS,$0.04084,1.96%,$3.41 K,$978.48 K,$85.13 K,0.02x,$14.8 M,"Aug 20, 2020"
MANTRA DAO,OM,$0.9782,-6.74%,$20.54 M,$857.24 M,$818.63 M,18.75x,$16.93 M,"Aug 17, 2020"
Keysians,KEN,$0.3718,2.49%,$45.31,$3.71 M,$206.91 K,0.37x,,"Aug 15, 2020"
Curve,CRV,$0.3034,18.96%,$141.11 M,$648.5 M,$354.31 M,0.75x,$7 M,"Aug 14, 2020"
The Sandbox,SAND,$0.2673,1.83%,$32.3 M,$797.7 M,$610.58 M,31.85x,$120.01 M,"Aug 13, 2020"
WaykiChain WGRT,WGRT,$0.01442,0.09%,$13.88 K,$301.35 M,,4.8x,$8.3 M,"Aug 12, 2020"
Serum,SRM,$0.0321,-2.52%,$665.92 K,$35.18 M,$8.45 M,0.29x,$120.66 M,"Aug 10, 2020"
GeeqChain,GEEQ,$0.05736,-0.22%,$186.48 K,$5.74 M,$2.21 M,0.23x,$749.6 K,"Aug 6, 2020"
Parsiq,PRQ,$0.06748,1.24%,$140.79 K,$20.91 M,$17.56 M,2.96x,$4.95 M,"Aug 4, 2020"
SUKU,SUKU,$0.07121,2.19%,$85.3 K,$107.06 M,$12.7 M,0.71x,$15.71 M,"Aug 3, 2020"
Bitbns,BNS,$0.000086,0.01%,$166.45,$217.5 K,,0.01x,$2.68 M,"Jul 31, 2020"
Pocket Network,POKT,$0.03574,0.33%,$920.74 K,$60.15 M,$58.59 M,0.16x,$21.35 M,"Jul 27, 2020"
Swingby,SWINGBY,$0.000104,-0.48%,$6.58,$93.43 K,$92.54 K,0.01x,$2.48 M,"Jul 24, 2020"
dKargo,DKA,$0.02002,-2.98%,$3.55 M,$99.9 M,$85.05 M,0.99x,$16.2 M,"Jul 23, 2020"
PROPS,PROPS,$0.00114,-4.17%,$1.04 K,$794.68 K,$585.23 K,0.01x,$26 M,"Jul 19, 2020"
Meta,MTA,$0.03057,0.67%,$2.74 K,$2.76 M,$1.53 M,0.02x,$6.54 M,"Jul 18, 2020"
yearn.finance,YFI,$5150.45,0.66%,$6.7 M,$188.08 M,$171.7 M,124.26x,,"Jul 18, 2020"
Meter,MTRG,$0.5275,0.32%,$90.14 K,$24.98 M,$16.42 M,1.06x,$2.53 M,"Jul 17, 2020"
Polkadot,DOT,$4.636,-0.28%,$85.95 M,$6.85 B,$6.86 B,3.7x,$247.76 M,"Jul 17, 2020"
Orion Protocol,ORN,$1.171,2.09%,$2.39 M,$117.5 M,$40.32 M,11.78x,$3.79 M,"Jul 15, 2020"
Rarible,RARI,$1.588,-2.18%,$189.91 K,$39.73 M,$37.85 M,4.03x,$15.95 M,"Jul 14, 2020"
MUX Protocol,MCB,$3.779,0.27%,$26.76 K,$18.16 M,$14.44 M,2.03x,$4.82 M,"Jul 13, 2020"
Nexus Mutual,NXM,$55.25,2.37%,,$203.44 M,$201.84 M,160x,$2.94 M,"Jul 12, 2020"
Balancer Pool,BAL,$1.977,2.76%,$3.85 M,$126.39 M,$117.53 M,0.22x,$28.21 M,"Jun 23, 2020"
Aleph.im,ALEPH,$0.1344,4.04%,$130.77 K,$67.05 M,$33.23 M,10.23x,$10 M,"Jun 20, 2020"
Compound,COMP,$43.27,2.92%,$21.23 M,$427 M,$362.51 M,0.43x,$33.2 M,"Jun 15, 2020"
Render,RNDR,$4.686,-0.87%,$55.98 M,$2.48 B,$1.84 B,18.59x,$35.18 M,"Jun 14, 2020"
Measurable Data Token,MDT,$0.03642,-6.86%,$1.68 M,$36.48 M,$24.63 M,1.22x,$14.2 M,"Jun 4, 2020"
Hiblocks,HIBS,$0.000088,0.74%,$4.49 K,$1.76 M,$887.61 K,0.04x,$21.29 M,"Jun 3, 2020"
MathWallet,MATH,$0.2035,-3.48%,$64.55 K,$41.18 M,$23.27 M,1.31x,$19.8 M,"May 31, 2020"
2key,2KEY,$0.000924,1.49%,$45.98,$552.3 K,$118.78 K,0.02x,,"May 12, 2020"
Thunder Token,TT,$0.0032,-0.53%,$1.07 M,$35.29 M,$35.29 M,0.19x,$109.27 M,"May 9, 2020"
JUST,JST,$0.0268,-0.78%,$21.04 M,$265.02 M,$265.32 M,13.25x,$4.07 M,"May 7, 2020"
Celo,CELO,$0.4872,3.75%,$8.76 M,$484 M,$265.65 M,0.48x,$66.5 M,"Apr 29, 2020"
UMA,UMA,$2.055,0.77%,$11.78 M,$246.51 M,$170.3 M,2.12x,$2.6 M,"Apr 29, 2020"
xDai,STAKE,$0.1231,0.42%,$22.48,$1.03 M,$1.04 M,0.22x,$945 K,"Apr 29, 2020"
HackenAI,HAI,$0.04006,-3.63%,$436.03 K,$38.91 M,$25.84 M,4.01x,$400 K,"Apr 27, 2020"
Keep Network,KEEP,$0.1198,0.14%,$10.26 K,$119.58 M,$113.96 M,1x,$26.55 M,"Apr 26, 2020"
Sensorium,SENSO,$0.03606,12.05%,$238.62 K,$25.82 M,$2.53 M,0.02x,$101.38 K,"Apr 24, 2020"
Cartesi,CTSI,$0.131,2.17%,$2.15 M,$130.1 M,$108.23 M,8.69x,$800 K,"Apr 22, 2020"
KardiaChain,KAI,$0.00244,-2.46%,$236.53 K,$12.3 M,$11.65 M,1.72x,$3.12 M,"Apr 17, 2020"
Helium,,$6.68,10.92%,$7.58 M,$1.07 B,$1.07 B,333.23x,$364.8 M,"Apr 16, 2020"
Solana,SOL,$147.59,-1.12%,$2.84 B,$85.56 B,$68.88 B,668x,$359.7 M,"Apr 9, 2020"
FIO Protocol,FIO,$0.0193,-3.55%,$3.94 M,$16.11 M,$15.18 M,0.55x,$6.27 M,"Mar 24, 2020"
HyperDAO,HDAO,$0.00019,-17.39%,$105.42,$950 K,,0.02x,$2 M,"Mar 5, 2020"
Sologenic,SOLO,$0.1092,2.75%,$1.8 M,$43.59 M,$21.84 M,0.44x,$13.75 M,"Mar 4, 2020"
Handshake,,$0.01147,-6.00%,$13.17 K,$23.22 M,$7.22 M,0.11x,$10.2 M,"Feb 4, 2020"
Terra,,$0.000079,-0.83%,$42.95 M,$523.18 M,$429.78 M,0.01x,$134.5 M,"Jan 20, 2020"
Origin Protocol,ORIGIN,$0.07824,2.14%,$5.09 M,$109.77 M,$47.5 M,0.57x,$38.1 M,"Jan 8, 2020"
Fuse,FUSE,$0.03434,-0.66%,$495.56 K,$12.83 M,$7.55 M,0.58x,$600 K,"Jan 6, 2020"
Tap,,$0.000373,1.85%,$12.02,$3.72 M,$459.5 K,0.02x,,"Dec 23, 2019"
Orchid Protocol,OXT,$0.06814,0.59%,$3.12 M,$67.69 M,$66.76 M,,$47.8 M,"Dec 16, 2019"
apM Coin,APM,$0.00366,4.28%,$1.03 M,$6.69 M,$5.48 M,0.01x,$5 M,"Dec 15, 2019"
Klaytn,KLAY,$0.1301,-0.64%,$7.9 M,$780.63 M,$494.32 M,0.18x,$90 M,"Dec 15, 2019"
Ally,ALY,$0.000407,-12.01%,$1.88 K,$4.07 M,$936.1 K,0.41x,$7.2 M,"Dec 15, 2019"
Arweave,AR,$21.45,3.27%,$32.46 M,$1.4 B,$1.41 B,162x,$23.57 M,"Dec 15, 2019"
BiLira,TRYB,$0.02947,0.51%,$1.58 K,$7.18 M,,0.17x,$761.49 K,"Dec 15, 2019"
CoinFLEX,FLEX,$0.1611,0.12%,$9.93,$15.89 M,$15.89 M,0.48x,$11.25 M,"Dec 15, 2019"
Connectome,CNTM,$0.00165,-8.08%,$85,$2 K,$2 K,0.11x,$4.5 M,"Dec 15, 2019"
Cryptyk,CTK,$0.00218,-4.51%,$59.85,$1.64 M,,0.02x,$7.03 M,"Dec 15, 2019"
Databroker DAO,DTX,$0.0016,23.11%,$415.2,$357.75 K,$360 K,0.01x,$3.54 M,"Dec 15, 2019"
dForce,DF,$0.02912,3.08%,$1.8 M,$29.02 M,$20.38 M,,$1.5 M,"Dec 15, 2019"
DSLA Protocol,DSLA,$0.000235,1.64%,$38.65 K,$1.32 M,$1.29 M,0.01x,$1.23 M,"Dec 15, 2019"
Ecomi,OMI,$0.000415,0.67%,$240.22 K,$129.61 M,,41610x,,"Dec 15, 2019"
Edgeware,EDG,$0.000148,5.31%,$2.47 K,$1.24 M,$939.82 K,0.01x,,"Dec 15, 2019"
Etherisc,DIP,$0.00995,-1.98%,$1.94 K,$9.93 M,$2.39 M,0.1x,$3.89 M,"Dec 15, 2019"
Ethos,,$0.03576,-31.86%,$12.82 M,$13.19 M,$12.25 M,1.54x,$4.2 M,"Dec 15, 2019"
Expand,GEM,$0.000051,2.81%,$19.13,$408 K,,0.01x,,"Dec 15, 2019"
Facts,BKC,$0.00000907,0.03%,$3.38 K,$81.63 K,$52.53 K,0.01x,$3.74 M,"Dec 15, 2019"
MAP Protocol,,$0.00969,2.41%,$208.73 K,$95.71 M,$46.47 M,0.35x,,"Dec 15, 2019"
Merge,,$0.00724,753.61%,$46.63,,,0.81x,,"Dec 15, 2019"
Robonomics,XRT,$2.71,7.43%,$12.56 K,$5.2 M,$7.82 M,0.47x,$1.59 M,"Dec 15, 2019"
Secret Network,SCRT,$0.2165,0.09%,$1.22 M,$65.21 M,$62.06 M,3009.87x,$411.5 M,"Dec 15, 2019"
SOMESING,SSX,$0.000385,20.45%,$3.04 M,$2.35 M,$1.25 M,0.06x,,"Dec 15, 2019"
Tokenize Xchange,TKX,$8.21,-0.38%,$138.24 K,$821 M,,55.12x,$11.5 M,"Dec 15, 2019"
Voyager Token,VGX,$0.03576,-31.86%,$12.82 M,$13.47 M,$12.25 M,1.54x,$175 M,"Dec 15, 2019"
Kusama,KSM,$17.75,1.22%,$8.32 M,$270.94 M,$272.02 M,10.38x,$247.76 M,"Dec 11, 2019"
Troy Trade,TROY,$0.00145,1.57%,$614.44 K,$14.5 M,$12.51 M,0.29x,$12.4 M,"Dec 5, 2019"
Kadena,KDA,$0.4792,3.89%,$3.21 M,$462.33 M,$136.78 M,0.48x,$35.15 M,"Dec 5, 2019"
LCX,LCX,$0.1307,-2.89%,$139.96 K,$125.21 M,$100.85 M,2.2x,$8.5 M,"Dec 2, 2019"
Vera,VERA,$0.000918,193.48%,$51.81 K,$915 K,,0.02x,$4.53 M,"Nov 28, 2019"
ShareRing,SHR,$0.00131,-5.33%,$73.93 K,$5.8 M,,0.07x,$40.66 M,"Nov 25, 2019"
Suterusu,SUTER,$0.000201,-1.71%,$39.24 K,$2.01 M,$774.86 K,0.01x,,"Nov 21, 2019"
Nervos,CKB,$0.00844,-1.04%,$11 M,$381.19 M,$377.54 M,0.84x,$123.42 M,"Nov 18, 2019"
Tellor,TRB,$59.44,4.35%,$21.72 M,$157.14 M,$154.92 M,,$400 K,"Nov 18, 2019"
Slimcoin,SLM,$0.000599,-0.77%,$4.78,$149.5 K,,0.02x,,"Oct 29, 2019"
Blockstack,STX,$1.444,0.03%,$74.16 M,$2.62 B,$2.14 B,4.78x,$76.4 M,"Oct 28, 2019"
Kava Labs,KAVA,$0.3302,0.50%,$5.14 M,$354.96 M,$357.56 M,0.69x,$8.48 M,"Oct 24, 2019"
Bitpanda,BEST,$0.4735,7.38%,$633.08,$375.52 M,,4.73x,$539.46 M,"Oct 18, 2019"
Roobee,ROOBEE,$0.00044,-0.45%,$106.15 K,$2.38 M,$1.8 M,0.04x,$11.4 M,"Oct 17, 2019"
D Community,DILI,$0.00000724,-0.81%,$5.18,$72.4 K,,0.01x,$10.79 M,"Oct 15, 2019"
Azbit,AZ,$0.0000058,-0.04%,$11.69,$403.16 K,$404.55 K,0.05x,$1.22 M,"Oct 13, 2019"
Velas,VLX,$0.00548,5.57%,$681.38 K,$13.97 M,$14.36 M,0.01x,$20.05 M,"Oct 2, 2019"
Telos,TLOS,$0.1596,-2.99%,$14.15 M,$71.48 M,$59.94 M,1.61x,$9 M,"Sep 18, 2019"
Band Protocol,BAND,$1.132,0.83%,$3.32 M,$168.14 M,$169.48 M,2.37x,$10.85 M,"Sep 16, 2019"
Hedera Hashgraph,HBAR,$0.05484,-0.07%,$30.13 M,$2.73 B,$1.97 B,0.57x,$123 M,"Sep 15, 2019"
Crypto.com,MCO,$0.08843,-1.59%,$6.67 M,$2.64 B,$2.35 B,0.88x,$26.2 M,"Sep 11, 2019"
Nestree,EGG,$0.00306,2.14%,$291.65 K,$9.16 M,$8.86 M,0.31x,$6 M,"Sep 8, 2019"
Vidy,VIDY,$0.00000998,-7.57%,$12.4,$100 K,,0.01x,$16.62 M,"Sep 3, 2019"
MixMarvel,MIX,$0.00123,3.64%,$775.06 K,$12.3 M,$10.09 M,0.03x,,"Sep 1, 2019"
Ferrum Network,FRM,$0.01997,2.86%,$260.42 K,$11.93 M,$5.3 M,1.25x,$1.12 M,"Aug 29, 2019"
